(2.12608, 1.44719) (0.16571, 0.183158) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.934561, -0.432347) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.235192, 0.178048) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.890961, -0.450022) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.309032, 0.17096) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.847152, -0.46868) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.428707, 0.152192) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.777195, -0.494388) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.517958, 0.137783) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.714933, -0.510915) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.599504, 0.130501) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.664635, -0.529767) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.691397, 0.126557) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.611998, -0.550069) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.787421, 0.127154) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.554736, -0.572052) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.86107, 0.1291) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.510972, -0.58852) (-2.63877, 2.30803) 
(2.12608, 1.44719) (0.955057, 0.137639) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.452634, -0.611632) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.04791, 0.150993) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.393446, -0.633803) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.11655, 0.160208) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.347441, -0.651377) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.18896, 0.163393) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.299577, -0.670716) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.25523, 0.159389) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.255972, -0.687726) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.36485, 0.147944) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.181385, -0.718245) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.43885, 0.137699) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.131521, -0.737269) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.52407, 0.119069) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.0708324, -0.761548) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.59184, 0.101969) (-2.50126, 2.65492) (-3.06363, 2.50943) (0.0201352, -0.780882) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.66629, 0.0837495) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.0396149, -0.803323) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.72049, 0.0720236) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.0850968, -0.820604) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.77784, 0.0629232) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.133678, -0.838236) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.83752, 0.0570846) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.191245, -0.861118) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.8807, 0.0563671) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.234989, -0.878472) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.93086, 0.0651362) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.289039, -0.899381) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.99318, 0.0851515) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.356223, -0.92497) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.04438, 0.105288) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.409366, -0.946166) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.09192, 0.124189) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.469392, -0.969115) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.12397, 0.135866) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.520424, -0.989337) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.15756, 0.151285) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.581019, -1.0119) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.17876, 0.163906) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.628023, -1.02968) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.19923, 0.180978) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.694558, -1.05408) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.20837, 0.193648) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.742483, -1.07175) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.21281, 0.207717) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.791563, -1.09012) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.21152, 0.219904) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.853096, -1.11426) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.21322, 0.227285) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.906628, -1.13637) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.21615, 0.229888) (-2.50126, 2.65492) (-3.06363, 2.50943) (-0.966815, -1.15945) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.22109, 0.227124) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.00838, -1.17635) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.22848, 0.221478) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.07317, -1.20308) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.23119, 0.215357) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.12979, -1.22476) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.23232, 0.207099) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.18728, -1.24667) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.22696, 0.195189) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.24721, -1.26955) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.21777, 0.185792) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.29502, -1.2858) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.19417, 0.162443) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.34555, -1.30521) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.13761, 0.111841) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.41541, -1.33142) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.08561, 0.0634235) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.46654, -1.35084) (-2.63877, 2.30803) 
(2.12608, 1.44719) (2.00003, -0.00459303) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.52834, -1.37443) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.90045, -0.065103) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.57758, -1.3932) (-2.63877, 2.30803) 
(2.12608, 1.44719) (1.78146, -0.125169) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.62929, -1.41226) (-2.63877, 2.30803) 
