(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.3568, 0.595939) (0.0435841, 2.48446) (0.0822619, -0.704813) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40218, 0.601592) (0.0436036, 2.48445) (0.080958, -0.642324) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.41006, 0.600986) (0.0435575, 2.48446) (0.0791053, -0.590645) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.39942, 0.601648) (0.0435763, 2.48447) (0.0762998, -0.534623) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.39329, 0.600003) (0.0435964, 2.48446) (0.0744529, -0.474591) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40373, 0.600869) (0.0436029, 2.48446) (0.0719412, -0.4125) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40743, 0.60156) (0.0436171, 2.48445) (0.0700955, -0.360216) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40563, 0.601636) (0.0435746, 2.48445) (0.0673965, -0.296537) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40622, 0.601758) (0.0435876, 2.48446) (0.0649646, -0.243584) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40575, 0.601693) (0.0435743, 2.48446) (0.0632782, -0.181304) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40601, 0.601652) (0.0435826, 2.48444) (0.0613195, -0.135299) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40595, 0.601739) (0.0436022, 2.48447) (0.0581708, -0.0741948) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601745) (0.0436025, 2.48446) (0.0573962, -0.0219634) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40588, 0.601732) (0.0435903, 2.48446) (0.0570681, 0.0406479) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40594, 0.601681) (0.0435946, 2.48447) (0.0553257, 0.0981351) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40586, 0.601688) (0.0435912, 2.48446) (0.0537211, 0.153582) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601717) (0.0436099, 2.48446) (0.0528236, 0.211928) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40586, 0.60169) (0.0435756, 2.48447) (0.0510488, 0.277906) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40588, 0.601701) (0.0435801, 2.48445) (0.0494872, 0.330668) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40591, 0.601734) (0.043595, 2.48447) (0.0484056, 0.394449) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601725) (0.0435999, 2.48446) (0.0471246, 0.444539) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40591, 0.601724) (0.043591, 2.48446) (0.0451476, 0.485847) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40587, 0.601706) (0.0435982, 2.48446) (0.0413637, 0.551676) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40587, 0.601699) (0.0435641, 2.48446) (0.0391255, 0.60866) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40587, 0.601695) (0.0435634, 2.48446) (0.0348039, 0.654963) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40587, 0.601715) (0.0435756, 2.48446) (0.0306009, 0.70787) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601697) (0.0435787, 2.48446) (0.0246547, 0.751686) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40589, 0.601722) (0.0434765, 2.48434) (0.0160078, 0.802586) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40586, 0.601728) (0.0435296, 2.48429) (0.00961189, 0.835186) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40586, 0.601683) (0.0434372, 2.48426) (-0.00136005, 0.8823) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601699) (0.0434167, 2.48427) (-0.0179248, 0.925784) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40587, 0.601725) (0.0434213, 2.48428) (-0.0372064, 0.970531) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40587, 0.601744) (0.0435978, 2.48423) (-0.0570747, 1.01008) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40586, 0.601696) (0.0434733, 2.48427) (-0.0822214, 1.05127) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601692) (0.0435055, 2.48424) (-0.102508, 1.08454) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601706) (0.0435045, 2.48424) (-0.125875, 1.12718) 
